Station Number,Station Name,State,Latitude,Longitude,Start Year,End Year,Total Observations,Valid Observations,Percentage Complete (from file),Record Length
094250,HOBART AIRPORT,TAS,-42.8333,147.5119,2017,2024,124563,121919,99.0,8
300000,DAVIS,ANT,-68.5744,77.9672,1994,2024,522542,49913,77.0,31
092037,SWAN ISLAND LIGHTHOUSE,TAS,-40.7314,148.1253,2001,2001,36,36,100.0,1
097000,CAPE SORELL,TAS,-42.1986,145.17,2011,2024,230023,218379,96.0,14
096033,LIAWENEE,TAS,-41.8997,146.6694,2001,2024,412135,351312,86.0,24
091104,LAUNCESTON AIRPORT COMPARISON,TAS,-41.5397,147.2033,1990,2009,327988,160662,49.0,20
095048,OUSE FIRE STATION,TAS,-42.4842,146.7106,1999,2024,431245,348468,81.0,26
097083,SCOTTS PEAK DAM,TAS,-43.0425,146.2722,1995,2024,513993,328290,65.0,30
096075,BARREN TIER,TAS,-42.0197,146.7533,1997,2001,72432,60783,84.0,5
200838,HOGAN ISLAND,TAS,-39.2225,146.9841,2003,2024,371437,353561,96.0,22
097085,MOUNT READ,TAS,-41.8444,145.5417,1998,2024,464701,284041,65.0,27
096003,BUTLERS GORGE,TAS,-42.2753,146.2758,2008,2024,283161,278535,99.0,17
091107,WYNYARD AIRPORT,TAS,-40.9964,145.7311,1990,2024,592331,392494,67.0,35
098017,KING ISLAND AIRPORT,TAS,-39.8804,143.8857,1990,2024,592333,406046,69.0,35
091375,CRESSY (BRUMBYS CREEK),TAS,-41.7114,147.082,2022,2024,27718,27373,99.0,3
094195,TUNNACK FIRE STATION,TAS,-42.4543,147.4612,1998,2024,463166,352386,77.0,27
097072,STRAHAN AERODROME,TAS,-42.155,145.2908,1993,2024,545917,386905,71.0,32
094198,CAPE BRUNY (CAPE BRUNY),TAS,-43.4886,147.1444,1997,2024,467376,386686,83.0,28
300004,MACQUARIE ISLAND,ANT,-54.4994,158.9369,1997,2024,467603,407076,88.0,28
300017,CASEY,ANT,-66.2825,110.5231,1998,2024,464673,76052,85.0,27
091104,LAUNCESTON AIRPORT COMPARISON,TAS,-41.5397,147.2033,1990,2009,327988,160662,49.0,20
029077,BURKETOWN AIRPORT,QLD,-17.7483,139.5356,2001,2024,399066,311409,78.0,24
037010,CAMOOWEAL TOWNSHIP,QLD,-19.9225,138.1214,1999,2024,439385,244462,56.0,26
140007,REDLAND (ALEXANDRA HILLS),QLD,-27.5433,153.2394,2015,2024,156144,153956,99.0,10
035129,ROLLESTON AIRPORT,QLD,-24.4617,148.6264,2010,2024,245617,239075,99.0,15
035134,BLACKWATER AIRPORT,QLD,-23.6015,148.8074,2013,2024,195129,192229,99.0,12
039066,GAYNDAH AIRPORT,QLD,-25.6167,151.6156,2003,2024,376283,300857,82.0,22
033045,MACKAY AERO,QLD,-21.1706,149.1794,1995,2024,504223,482241,96.0,30
200283,WILLIS ISLAND,QLD,-16.2878,149.9652,1995,2024,504223,423038,88.0,30
034035,MORANBAH AIRPORT,QLD,-22.0644,148.0758,2012,2024,217069,215174,99.0,13
040651,JIMNA FORESTRY,QLD,-26.6644,152.4606,2000,2017,293086,203610,70.0,18
031213,CAPE FLATTERY,QLD,-14.9672,145.3106,2003,2024,369417,295017,81.0,22
037053,CARTERS BORE,QLD,-20.9358,139.2964,2014,2024,174675,169381,99.0,11
040223,BRISBANE AERO,QLD,-27.4178,153.1142,1985,2000,265062,42146,16.0,16
033295,ALVA BEACH,QLD,-19.4569,147.4833,1997,2024,478831,363008,76.0,28
200001,MIDDLE PERCY ISLAND,QLD,-21.6628,150.2711,2004,2024,350449,285071,87.0,21
035124,CLERMONT AIRPORT,QLD,-22.7756,147.6217,2010,2024,249849,245190,99.0,15
032196,TOWNSVILLE- AIR WEAPONS RANGE (DEFENCE),QLD,-19.3048,146.2438,2017,2024,118908,109002,97.0,8
041522,DALBY AIRPORT,QLD,-27.1605,151.2633,2006,2024,316033,264964,85.0,19
033329,OORALEA RACECOURSE (MACKAY TURF CLUB),QLD,-21.17,149.1515,2016,2024,141131,137014,99.0,9
039128,BUNDABERG AERO,QLD,-24.9069,152.323,1998,2024,450329,371573,83.0,27
029058,JULIA CREEK AIRPORT,QLD,-20.6672,141.7214,2001,2024,400989,302112,76.0,24
033298,DOTSWOOD,QLD,-19.6264,146.2939,1996,2005,160633,71694,45.0,10
040988,NAMBOUR DAFF - HILLSIDE,QLD,-26.6442,152.9383,2007,2024,290559,267032,93.0,18
040082,UNIVERSITY OF QUEENSLAND GATTON,QLD,-27.5436,152.3375,2002,2024,385687,319780,83.0,23
029127,MOUNT ISA AERO,QLD,-20.6778,139.4875,1995,2024,504217,476605,95.0,30
040282,NAMBOUR DPI,QLD,-26.6431,152.9392,1997,2007,182833,87395,48.0,11
028004,PALMERVILLE,QLD,-15.9999,144.0754,2001,2024,403209,283294,71.0,24
200736,CREAL REEF,QLD,-20.5303,150.3773,2008,2024,285121,0,63.0,17
037034,THE MONUMENT AIRPORT,QLD,-21.8125,139.9267,2000,2024,413475,304019,75.0,25
040284,BEERBURRUM FOREST STATION,QLD,-26.9586,152.9619,1999,2024,439391,369994,85.0,26
039326,GLADSTONE AIRPORT,QLD,-23.8697,151.2214,1996,2024,500335,489369,98.0,29
029182,MORNINGTON ISLAND AIRPORT,QLD,-16.662,139.1655,2013,2024,188029,185342,99.0,12
033307,WOOLSHED,QLD,-19.4168,146.5362,1998,2024,449386,317053,72.0,27
029038,KOWANYAMA AIRPORT,QLD,-15.4818,141.7483,1999,2024,439391,328784,76.0,26
038026,BIRDSVILLE AIRPORT,QLD,-25.8975,139.3472,2000,2024,420341,316119,76.0,25
040842,BRISBANE AERO,QLD,-27.3917,153.1292,1995,2024,504227,493467,99.0,30
041175,APPLETHORPE,QLD,-28.6217,151.9533,1997,2024,478831,366748,77.0,28
027075,SCHERGER RAAF,QLD,-12.6167,142.0869,2005,2024,325835,276390,86.0,20
033119,MACKAY M.O,QLD,-21.1172,149.2169,1995,2024,504223,377169,76.0,30
041525,WARWICK,QLD,-28.2061,152.1003,1998,2024,450320,318786,72.0,27
032194,COWLEY BEACH (DEFENCE),QLD,-17.6905,146.1126,2017,2024,127684,127061,99.0,8
032195,MOUNT STUART (DEFENCE),QLD,-19.4082,146.762,2017,2024,118908,117714,99.0,8
033308,SAMUEL HILL AERO,QLD,-22.7433,150.6578,2000,2024,415211,325872,80.0,25
037059,NEW MAY DOWNS,QLD,-20.59,139.3411,2013,2024,191198,188913,99.0,12
030022,HUGHENDEN AIRPORT,QLD,-20.8192,144.2333,2001,2024,410073,306788,76.0,24
043109,ST GEORGE AIRPORT,QLD,-28.0478,148.5957,1998,2024,450327,318884,72.0,27
030161,RICHMOND AIRPORT,QLD,-20.7001,143.1137,1998,2024,450329,325396,73.0,27
040922,KINGAROY AIRPORT,QLD,-26.5737,151.8398,2001,2024,411752,314459,78.0,24
029181,LAKE JULIUS AWS,QLD,-20.1167,139.7256,2013,2024,191198,180660,97.0,12
028008,LOCKHART RIVER AIRPORT,QLD,-12.785,143.3047,2001,2024,404169,302194,76.0,24
039089,THANGOOL AIRPORT,QLD,-24.4935,150.5709,2009,2024,259250,242302,95.0,16
027073,COEN AIRPORT,QLD,-13.7606,143.1183,2002,2024,390963,307128,79.0,23
040958,REDCLIFFE,QLD,-27.2169,153.0922,2004,2024,357319,352756,99.0,21
032200,INGHAM AERO,QLD,-18.6651,146.1467,2024,2024,182,181,99.0,1
037058,URANDANGI AERODROME,QLD,-21.5979,138.3665,2012,2024,207608,198691,98.0,13
039059,LADY ELLIOT ISLAND,QLD,-24.1116,152.7161,1998,2024,450014,208801,48.0,27
033255,HAMILTON ISLAND,QLD,-20.3528,148.9511,2002,2002,6087,2962,49.0,1
